"Строка1
Строка2
строка3"
"Строка1
Строка2
строка3"
"Строка1
Строка2
строка3"
"Строка1
Строка2
строка3"
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
какая-то строкаЗаголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
какая-то строка
Заголовок;"Содержание1
Содержание2
Содержание3";Дата модификации
Заголовок2;"Содержание4
Содержание5
Содержание6";Дата модификации2
